isced11;Country;Year;value
ED0-2;AT34;2015;24.4
ED0-2;AT34;2016;24
ED0-2;AT34;2017;23
ED0-2;AT34;2018;23
ED0-2;AT34;2019;23.4
ED0-2;E;2005;36.3
ED0-2;E;2006;35.7
ED0-2;E;2007;34.8
ED0-2;E;2008;33.6
ED0-2;E;2009;32.4
ED0-2;E;2010;32.6
ED0-2;E;2011;31.9
ED0-2;E;2012;31.4
ED0-2;E;2013;30.4
ED0-2;E;2014;29.5
ED0-2;E;2015;28.7
ED0-2;E;2016;28.2
ED0-2;E;2017;27.2
ED0-2;E;2018;26.3
ED0-2;E;2019;25.9
ED0-2;E1;2005;36.4
ED0-2;E1;2006;36.3
ED0-2;E1;2007;35.9
ED0-2;E1;2008;37.1
ED0-2;E1;2009;34.4
ED0-2;E1;2010;35.8
ED0-2;E1;2011;36.1
ED0-2;E1;2012;35.5
ED0-2;E1;2013;35.7
ED0-2;E1;2014;35.2
ED0-2;E1;2015;33.7
ED0-2;E1;2016;32.9
ED0-2;E1;2017;31.4
ED0-2;E1;2018;31.1
ED0-2;E1;2019;32.2
ED0-2;E10;2005;36.4
ED0-2;E10;2006;36.3
ED0-2;E10;2007;35.9
ED0-2;E10;2008;37.1
ED0-2;E10;2009;34.4
ED0-2;E10;2010;35.8
ED0-2;E10;2011;36.1
ED0-2;E10;2012;35.5
ED0-2;E10;2013;35.7
ED0-2;E10;2014;35.2
ED0-2;E10;2015;33.7
ED0-2;E10;2016;32.9
ED0-2;E10;2017;31.4
ED0-2;E10;2018;31.1
ED0-2;E10;2019;32.2
ED0-2;E2;2005;34.7
ED0-2;E2;2006;33.7
ED0-2;E2;2007;33.1
ED0-2;E2;2008;31.1
ED0-2;E2;2009;30.2
ED0-2;E2;2010;30.1
ED0-2;E2;2011;29
ED0-2;E2;2012;28.7
ED0-2;E2;2013;27.3
ED0-2;E2;2014;26.6
ED0-2;E2;2015;25.9
ED0-2;E2;2016;25.5
ED0-2;E2;2017;24.3
ED0-2;E2;2018;23.2
ED0-2;E2;2019;22.5
ED0-2;E21;2005;35.4
ED0-2;E21;2006;34.1
ED0-2;E21;2007;33.6
ED0-2;E21;2008;30.2
ED0-2;E21;2009;30.3
ED0-2;E21;2010;29.8
ED0-2;E21;2011;29.5
ED0-2;E21;2012;28.8
ED0-2;E21;2013;29
ED0-2;E21;2014;26.4
ED0-2;E21;2015;25.9
ED0-2;E21;2016;26.9
ED0-2;E21;2017;25.6
ED0-2;E21;2018;24.7
ED0-2;E21;2019;24.7
ED0-2;E22;2005;39.1
ED0-2;E22;2006;36.1
ED0-2;E22;2007;34.4
ED0-2;E22;2008;32.7
ED0-2;E22;2009;32.5
ED0-2;E22;2010;33.2
ED0-2;E22;2011;31.4
ED0-2;E22;2012;30.9
ED0-2;E22;2013;30.1
ED0-2;E22;2014;27.6
ED0-2;E22;2015;27.3
ED0-2;E22;2016;27.1
ED0-2;E22;2017;25.4
ED0-2;E22;2018;23.9
ED0-2;E22;2019;23.9
ED0-2;E23;2005;34.9
ED0-2;E23;2006;34
ED0-2;E23;2007;34.1
ED0-2;E23;2008;32.1
ED0-2;E23;2009;30.5
ED0-2;E23;2010;31.1
ED0-2;E23;2011;29.3
ED0-2;E23;2012;30
ED0-2;E23;2013;27.1
ED0-2;E23;2014;28.1
ED0-2;E23;2015;27.1
ED0-2;E23;2016;26.1
ED0-2;E23;2017;24.9
ED0-2;E23;2018;23.1
ED0-2;E23;2019;21.7
ED0-2;E24;2005;28.6
ED0-2;E24;2006;29.5
ED0-2;E24;2007;26.8
ED0-2;E24;2008;27.6
ED0-2;E24;2009;25
ED0-2;E24;2010;25.2
ED0-2;E24;2011;24.8
ED0-2;E24;2012;23.9
ED0-2;E24;2013;21.9
ED0-2;E24;2014;22.2
ED0-2;E24;2015;21.8
ED0-2;E24;2016;21
ED0-2;E24;2017;19.1
ED0-2;E24;2018;19.7
ED0-2;E24;2019;19.1
ED0-2;E25;2005;35.5
ED0-2;E25;2006;35.1
ED0-2;E25;2007;35.8
ED0-2;E25;2008;33.2
ED0-2;E25;2009;32.8
ED0-2;E25;2010;31.5
ED0-2;E25;2011;29.8
ED0-2;E25;2012;30
ED0-2;E25;2013;28.1
ED0-2;E25;2014;28.3
ED0-2;E25;2015;27.1
ED0-2;E25;2016;25.6
ED0-2;E25;2017;25.5
ED0-2;E25;2018;23.6
ED0-2;E25;2019;22.3
ED0-2;E3;2005;39.3
ED0-2;E3;2006;39
ED0-2;E3;2007;37.4
ED0-2;E3;2008;36.9
ED0-2;E3;2009;35.8
ED0-2;E3;2010;35.9
ED0-2;E3;2011;35.6
ED0-2;E3;2012;34.8
ED0-2;E3;2013;34.1
ED0-2;E3;2014;32.9
ED0-2;E3;2015;32
ED0-2;E3;2016;31.5
ED0-2;E3;2017;31.1
ED0-2;E3;2018;30.3
ED0-2;E3;2019;29.7
ED0-2;E31;2005;27.5
ED0-2;E31;2006;27.4
ED0-2;E31;2007;28
ED0-2;E31;2008;26.2
ED0-2;E31;2009;24.7
ED0-2;E31;2010;24.5
ED0-2;E31;2011;21.5
ED0-2;E31;2012;22.6
ED0-2;E31;2013;22.8
ED0-2;E31;2014;21.6
ED0-2;E31;2015;18.3
ED0-2;E31;2016;21.5
ED0-2;E31;2017;19.5
ED0-2;E31;2018;19.1
ED0-2;E31;2019;19.5
ED0-2;E32;2005;43.6
ED0-2;E32;2006;44.2
ED0-2;E32;2007;41.1
ED0-2;E32;2008;39.5
ED0-2;E32;2009;39.3
ED0-2;E32;2010;39.5
ED0-2;E32;2011;39.3
ED0-2;E32;2012;39.6
ED0-2;E32;2013;37.5
ED0-2;E32;2014;36
ED0-2;E32;2015;36.4
ED0-2;E32;2016;35
ED0-2;E32;2017;34.8
ED0-2;E32;2018;33.6
ED0-2;E32;2019;32.9
ED0-2;E33;2005;39.4
ED0-2;E33;2006;39
ED0-2;E33;2007;38.2
ED0-2;E33;2008;39.2
ED0-2;E33;2009;37.1
ED0-2;E33;2010;37.4
ED0-2;E33;2011;37.4
ED0-2;E33;2012;35.9
ED0-2;E33;2013;34.8
ED0-2;E33;2014;35.3
ED0-2;E33;2015;34.4
ED0-2;E33;2016;33.3
ED0-2;E33;2017;34.1
ED0-2;E33;2018;33.3
ED0-2;E33;2019;31.1
ED0-2;E34;2005;39.2
ED0-2;E34;2006;33.6
ED0-2;E34;2007;35.1
