Year,Country,code,ISCED11,AVG
2013,Hungary,HU,5-8,19,45
2013,Malta,MT,0-2,54,35
2013,Malta,MT,3-4,27,75
2013,Malta,MT,5-8,17,9
2013,Netherland,0-2,29,05
2013,Netherland,3-4,41,6
2013,Netherland,5-8,29,35
2013,Austria,AT,0-2,22,15
2013,Austria,AT,3-4,60,2
2013,Austria,AT,5-8,17,65
2013,Poland,PL,0-2,16,1
2013,Poland,PL,3-4,61,3
2013,Poland,PL,5-8,22,6
2013,Portugal,PT,0-2,59,5
2013,Portugal,PT,3-4,23,0
2013,Portugal,PT,5-8,17,55
2013,Romania,RO,0-2,28,9
2013,Romania,RO,3-4,57,35
2013,Romania,RO,5-8,13,8
2013,Slovenia,SI,0-2,18,5
2013,Slovenia,SI,3-4,57,0
2013,Slovenia,SI,5-8,24,5
2013,Slovakia,SK,0-2,14,75
2013,Slovakia,SK,3-4,67,55
2013,Slovakia,SK,5-8,17,75
2013,Finland,Fi,0-2,20,8
2013,Finland,Fi,3-4,45,6
2013,Finland,Fi,5-8,33,6
2013,Sweden,SE,0-2,22,9
2013,Sweden,SE,3-4,45,6
2013,Sweden,SE,5-8,31,5
2013,Switzerlan,0-2,19,6
2013,Switzerlan,3-4,48,5
2013,Switzerlan,5-8,31,9
2014,Belgium,BE,0-2,29,5
2014,Belgium,BE,3-4,37,8
2014,Belgium,BE,5-8,32,65
2014,Bulgaria,BG,0-2,22,6
2014,Bulgaria,BG,3-4,53,7
2014,Bulgaria,BG,5-8,23,65
2014,Czechia,CZ,0-2,12,4
2014,Czechia,CZ,3-4,68,5
2014,Czechia,CZ,5-8,19,1
2014,Denmark,DK,0-2,28,7
2014,Denmark,DK,3-4,41,85
2014,Denmark,DK,5-8,29,45
2014,Germany,DE,0-2,19,7
2014,Germany,DE,3-4,57,15
2014,Germany,DE,5-8,23,2
2014,Estonia,EE,0-2,17,75
2014,Estonia,EE,3-4,49,75
2014,Estonia,EE,5-8,32,5
2014,Ireland,IE,0-2,23,95
2014,Ireland,IE,3-4,38,1
2014,Ireland,IE,5-8,37,9
2014,Greece,EL,0-2,33,15
2014,Greece,EL,3-4,42,25
2014,Greece,EL,5-8,24,6
2014,Spain,ES,0-2,44,45
2014,Spain,ES,3-4,23,85
2014,Spain,ES,5-8,31,65
2014,France,FR,0-2,26,5
2014,France,FR,3-4,43,8
2014,France,FR,5-8,29,75
2014,Croatia,HR,0-2,21,0
2014,Croatia,HR,3-4,60,5
2014,Croatia,HR,5-8,18,5
2014,Italy,IT,0-2,42,35
2014,Italy,IT,3-4,42,7
2014,Italy,IT,5-8,14,95
2014,Cyprus,CY,0-2,26,1
2014,Cyprus,CY,3-4,37,7
2014,Cyprus,CY,5-8,36,25
2014,Liatvia,LV,0-2,16,3
2014,Liatvia,LV,3-4,57,1
2014,Liatvia,LV,5-8,26,6
2014,Lithuania,LT,0-2,14,3
2014,Lithuania,LT,3-4,54,45
2014,Lithuania,LT,5-8,31,25
2014,Luxembourg,LU,0-2,24,85
2014,Luxembourg,LU,3-4,35,55
2014,Luxembourg,LU,5-8,39,6
2014,Hungary,HU,0-2,22,0
2014,Hungary,HU,3-4,57,75
2014,Hungary,HU,5-8,20,2
2014,Malta,MT,0-2,52,2
2014,Malta,MT,3-4,28,35
2014,Malta,MT,5-8,19,4
2014,Netherland,0-2,28,85
2014,Netherland,3-4,41,4
2014,Netherland,5-8,29,7
2014,Austria,AT,0-2,20,25
2014,Austria,AT,3-4,52,4
2014,Austria,AT,5-8,27,4
2014,Poland,PL,0-2,15,55
2014,Poland,PL,3-4,60,7
2014,Poland,PL,5-8,23,8
2014,Portugal,PT,0-2,56,45
2014,Portugal,PT,3-4,23,95
2014,Portugal,PT,5-8,19,55
2014,Romania,RO,0-2,31,2
2014,Romania,RO,3-4,54,6
2014,Romania,RO,5-8,14,15
2014,Slovenia,SI,0-2,18,45
2014,Slovenia,SI,3-4,56,35
2014,Slovenia,SI,5-8,25,2
2014,Slovakia,SK,0-2,15,2
2014,Slovakia,SK,3-4,66,65
2014,Slovakia,SK,5-8,18,15
2014,Finland,Fi,0-2,20,1
2014,Finland,Fi,3-4,45,2
2014,Finland,Fi,5-8,34,7
2014,Sweden,SE,0-2,22,15
2014,Sweden,SE,3-4,44,95
2014,Sweden,SE,5-8,32,9
2014,Switzerlan,0-2,18,75
2014,Switzerlan,3-4,48,35
2014,Switzerlan,5-8,32,9
2015,Belgium,BE,0-2,28,65
2015,Belgium,BE,3-4,38,7
2015,Belgium,BE,5-8,32,65
2015,Bulgaria,BG,0-2,22,2
2015,Bulgaria,BG,3-4,53,65
2015,Bulgaria,BG,5-8,24,15
2015,Czechia,CZ,0-2,12,45
2015,Czechia,CZ,3-4,67,75
2015,Czechia,CZ,5-8,19,8
2015,Denmark,DK,0-2,27,9
2015,Denmark,DK,3-4,41,85
2015,Denmark,DK,5-8,30,25
2015,Germany,DE,0-2,19,85
2015,Germany,DE,3-4,56,4
2015,Germany,DE,5-8,23,75
2015,Estonia,EE,0-2,17,3
2015,Estonia,EE,3-4,49,55
2015,Estonia,EE,5-8,33,2
2015,Ireland,IE,0-2,23,5
2015,Ireland,IE,3-4,37,55
2015,Ireland,IE,5-8,38,95
2015,Greece,EL,0-2,31,55
2015,Greece,EL,3-4,43,05
2015,Greece,EL,5-8,25,45
2015,Spain,ES,0-2,43,5
2015,Spain,ES,3-4,24,4
2015,Spain,ES,5-8,32,1
2015,France,FR,0-2,25,9
2015,France,FR,3-4,43,65
2015,France,FR,5-8,30,4
2015,Croatia,HR,0-2,20,4
2015,Croatia,HR,3-4,59,9
2015,Croatia,HR,5-8,19,65
2015,Italy,IT,0-2,41,85
2015,Italy,IT,3-4,42,65
2015,Italy,IT,5-8,15,45
2015,Cyprus,CY,0-2,25,6
2015,Cyprus,CY,3-4,38,25
2015,Cyprus,CY,5-8,36,25
2015,Liatvia,LV,0-2,15,7
2015,Liatvia,LV,3-4,56,5
2015,Liatvia,LV,5-8,27,85
2015,Lithuania,LT,0-2,13,85
2015,Lithuania,LT,3-4,53,15
2015,Lithuania,LT,5-8,33,0
2015,Luxembourg,LU,0-2,30,3
2015,Luxembourg,LU,3-4,34,5
2015,Luxembourg,LU,5-8,35,25
2015,Hungary,HU,0-2,21,9
2015,Hungary,HU,3-4,57,2
2015,Hungary,HU,5-8,20,95
2015,Malta,MT,0-2,50,4
2015,Malta,MT,3-4,29,7
2015,Malta,MT,5-8,20,0
2015,Netherland,0-2,28,4
2015,Netherland,3-4,41,1
2015,Netherland,5-8,30,5
2015,Austria,AT,0-2,19,55
2015,Austria,AT,3-4,52,3
2015,Austria,AT,5-8,28,15
2015,Poland,PL,0-2,15,25
2015,Poland,PL,3-4,60,3
2015,Poland,PL,5-8,24,45
2015,Portugal,PT,0-2,54,5
2015,Portugal,PT,3-4,24,9
2015,Portugal,PT,5-8,20,6
2015,Romania,RO,0-2,29,4
2015,Romania,RO,3-4,55,55
2015,Romania,RO,5-8,15,0
2015,Slovenia,SI,0-2,17,5
2015,Slovenia,SI,3-4,55,8
2015,Slovenia,SI,5-8,26,8
2015,Slovakia,SK,0-2,14,6
2015,Slovakia,SK,3-4,66,55
2015,Slovakia,SK,5-8,18,9
2015,Finland,Fi,0-2,19,15
2015,Finland,Fi,3-4,45,25
2015,Finland,Fi,5-8,35,55
2015,Sweden,SE,0-2,21,6
2015,Sweden,SE,3-4,44,35
2015,Sweden,SE,5-8,34,1
2015,Switzerlan,0-2,18,5
2015,Switzerlan,3-4,47,3
2015,Switzerlan,5-8,34,1
2016,Belgium,BE,0-2,28,2
2016,Belgium,BE,3-4,38,6
2016,Belgium,BE,5-8,33,25
2016,Bulgaria,BG,0-2,21,9
2016,Bulgaria,BG,3-4,53,65
2016,Bulgaria,BG,5-8,24,45
2016,Czechia,CZ,0-2,12,35
2016,Czechia,CZ,3-4,67,0
2016,Czechia,CZ,5-8,20,6
2016,Denmark,DK,0-2,27,3
2016,Denmark,DK,3-4,41,7
2016,Denmark,DK,5-8,30,95
2016,Germany,DE,0-2,19,85
2016,Germany,DE,3-4,55,75
2016,Germany,DE,5-8,24,45
2016,Estonia,EE,0-2,16,7
2016,Estonia,EE,3-4,49,3
2016,Estonia,EE,5-8,34,0
2016,Ireland,IE,0-2,23,0
2016,Ireland,IE,3-4,37,55
2016,Ireland,IE,5-8,39,4
2016,Greece,EL,0-2,30,05
2016,Greece,EL,3-4,43,5
2016,Greece,EL,5-8,26,45
2016,Spain,ES,0-2,42,6
2016,Spain,ES,3-4,24,75
2016,Spain,ES,5-8,32,7
2016,France,FR,0-2,25,4
2016,France,FR,3-4,43,65
2016,France,FR,5-8,30,9
2016,Croatia,HR,0-2,20,6
2016,Croatia,HR,3-4,59,45
2016,Croatia,HR,5-8,20,0
2016,Italy,IT,0-2,41,6
2016,Italy,IT,3-4,42,75
2016,Italy,IT,5-8,15,65
2016,Cyprus,CY,0-2,24,1
2016,Cyprus,CY,3-4,38,5
2016,Cyprus,CY,5-8,37,4
2016,Liatvia,LV,0-2,15,05
2016,Liatvia,LV,3-4,55,8
2016,Liatvia,LV,5-8,29,25
2016,Lithuania,LT,0-2,12,5
2016,Lithuania,LT,3-4,53,65
2016,Lithuania,LT,5-8,33,85
2016,Luxembourg,LU,0-2,28,2
2016,Luxembourg,LU,3-4,35,4
2016,Luxembourg,LU,5-8,36,45
2016,Hungary,HU,0-2,21,8
2016,Hungary,HU,3-4,57,7
2016,Hungary,HU,5-8,20,55
2016,Malta,MT,0-2,47,8
2016,Malta,MT,3-4,31,75
2016,Malta,MT,5-8,20,4
2016,Netherland,0-2,27,95
2016,Netherland,3-4,41,05
2016,Netherland,5-8,31,0
2016,Austria,AT,0-2,19,55
2016,Austria,AT,3-4,51,45
2016,Austria,AT,5-8,28,9
2016,Poland,PL,0-2,14,6
2016,Poland,PL,3-4,60,2
2016,Poland,PL,5-8,25,2
2016,Portugal,PT,0-2,53,0
2016,Portugal,PT,3-4,25,65
2016,Portugal,PT,5-8,21,3
2016,Romania,RO,0-2,28,05
2016,Romania,RO,3-4,56,85
2016,Romania,RO,5-8,15,1
2016,Slovenia,SI,0-2,17,25
2016,Slovenia,SI,3-4,55,45
2016,Slovenia,SI,5-8,27,3
2016,Slovakia,SK,0-2,14,25
2016,Slovakia,SK,3-4,66,0
2016,Slovakia,SK,5-8,19,75
2016,Finland,Fi,0-2,18,55
2016,Finland,Fi,3-4,45,5
2016,Finland,Fi,5-8,35,95
2016,Sweden,SE,0-2,21,1
2016,Sweden,SE,3-4,43,55
2016,Sweden,SE,5-8,35,45
2016,Switzerlan,0-2,18,25
2016,Switzerlan,3-4,46,35
2016,Switzerlan,5-8,35,45
2017,Belgium,BE,0-2,27,2
2017,Belgium,BE,3-4,37,15
2017,Belgium,BE,5-8,35,65
2017,Bulgaria,BG,0-2,21,35
2017,Bulgaria,BG,3-4,54,05
2017,Bulgaria,BG,5-8,24,6
2017,Czechia,CZ,0-2,12,15
2017,Czechia,CZ,3-4,66,45
2017,Czechia,CZ,5-8,21,45
2017,Denmark,DK,0-2,26,65
2017,Denmark,DK,3-4,41,15
2017,Denmark,DK,5-8,32,15
2017,Germany,DE,0-2,19,85
2017,Germany,DE,3-4,55,5
2017,Germany,DE,5-8,24,75
2017,Estonia,EE,0-2,16,9
2017,Estonia,EE,3-4,48,5
2017,Estonia,EE,5-8,34,7
2017,Ireland,IE,0-2,21,85
2017,Ireland,IE,3-4,37,75
2017,Ireland,IE,5-8,40,4
2017,Greece,EL,0-2,29,3
2017,Greece,EL,3-4,43,6
2017,Greece,EL,5-8,27,15
2017,Spain,ES,0-2,41,85
2017,Spain,ES,3-4,24,95
2017,Spain,ES,5-8,33,2
2017,France,FR,0-2,25,2
2017,France,FR,3-4,43,4
2017,France,FR,5-8,31,35
2017,Croatia,HR,0-2,19,9
2017,Croatia,HR,3-4,59,55
2017,Croatia,HR,5-8,20,55
2017,Italy,IT,0-2,40,85
2017,Italy,IT,3-4,42,6
2017,Italy,IT,5-8,16,5
2017,Cyprus,CY,0-2,22,9
2017,Cyprus,CY,3-4,39,1
2017,Cyprus,CY,5-8,37,95
2017,Liatvia,LV,0-2,15,35
2017,Liatvia,LV,3-4,54,9
2017,Liatvia,LV,5-8,29,75
2017,Lithuania,LT,0-2,12,1
2017,Lithuania,LT,3-4,53,3
2017,Lithuania,LT,5-8,34,6
2017,Luxembourg,LU,0-2,30,5
2017,Luxembourg,LU,3-4,35,4
2017,Luxembourg,LU,5-8,34,1
2017,Hungary,HU,0-2,21,05
2017,Hungary,HU,3-4,58,1
2017,Hungary,HU,5-8,20,85
2017,Malta,MT,0-2,45,6
2017,Malta,MT,3-4,32,35
2017,Malta,MT,5-8,22,15
2017,Netherland,0-2,26,6
2017,Netherland,3-4,41,3
2017,Netherland,5-8,32,1
2017,Austria,AT,0-2,19,3
2017,Austria,AT,3-4,50,95
2017,Austria,AT,5-8,29,7
2017,Poland,PL,0-2,13,9
2017,Poland,PL,3-4,59,8
2017,Poland,PL,5-8,26,3
2017,Portugal,PT,0-2,51,8
2017,Portugal,PT,3-4,26,6
2017,Portugal,PT,5-8,21,55
2017,Romania,RO,0-2,26,95
2017,Romania,RO,3-4,57,7
2017,Romania,RO,5-8,15,35
2017,Slovenia,SI,0-2,16,75
2017,Slovenia,SI,3-4,54,45
2017,Slovenia,SI,5-8,28,8
2017,Slovakia,SK,0-2,14,75
2017,Slovakia,SK,3-4,64,5
2017,Slovakia,SK,5-8,20,75
2017,Finland,Fi,0-2,18,35
2017,Finland,Fi,3-4,45,15
2017,Finland,Fi,5-8,36,5
2017,Sweden,SE,0-2,21,1
2017,Sweden,SE,3-4,42,8
2017,Sweden,SE,5-8,36,05
2017,Switzerlan,0-2,17,8
2017,Switzerlan,3-4,45,5
2017,Switzerlan,5-8,36,7
2018,Belgium,BE,0-2,26,35
2018,Belgium,BE,3-4,37,7
2018,Belgium,BE,5-8,36,0
2018,Bulgaria,BG,0-2,21,55
2018,Bulgaria,BG,3-4,53,6
2018,Bulgaria,BG,5-8,24,9
2018,Czechia,CZ,0-2,12,1
2018,Czechia,CZ,3-4,66,15
2018,Czechia,CZ,5-8,21,75
2018,Denmark,DK,0-2,26,6
2018,Denmark,DK,3-4,40,95
2018,Denmark,DK,5-8,32,4
2018,Germany,DE,0-2,19,65
2018,Germany,DE,3-4,55,2
2018,Germany,DE,5-8,25,15
2018,Estonia,EE,0-2,16,8
2018,Estonia,EE,3-4,47,35
2018,Estonia,EE,5-8,35,85
2018,Ireland,IE,0-2,21,5
2018,Ireland,IE,3-4,38,05
2018,Ireland,IE,5-8,40,45
2018,Greece,EL,0-2,28,7
2018,Greece,EL,3-4,43,65
2018,Greece,EL,5-8,27,65
2018,Spain,ES,0-2,40,85
2018,Spain,ES,3-4,25,15
2018,Spain,ES,5-8,34,0
2018,France,FR,0-2,24,45
2018,France,FR,3-4,42,85
2018,France,FR,5-8,32,7
2018,Croatia,HR,0-2,18,7
2018,Croatia,HR,3-4,59,3
2018,Croatia,HR,5-8,22,0
2018,Italy,IT,0-2,40,3
2018,Italy,IT,3-4,42,6
2018,Italy,IT,5-8,17,1
2018,Cyprus,CY,0-2,21,9
2018,Cyprus,CY,3-4,38,8
2018,Cyprus,CY,5-8,39,3
2018,Liatvia,LV,0-2,15,35
2018,Liatvia,LV,3-4,54,8
2018,Liatvia,LV,5-8,29,8
2018,Lithuania,LT,0-2,11,7
2018,Lithuania,LT,3-4,52,4
2018,Lithuania,LT,5-8,35,9
2018,Luxembourg,LU,0-2,27,55
2018,Luxembourg,LU,3-4,34,1
2018,Luxembourg,LU,5-8,38,3
2018,Hungary,HU,0-2,20,25
2018,Hungary,HU,3-4,58,1
2018,Hungary,HU,5-8,21,7
2018,Malta,MT,0-2,42,9
2018,Malta,MT,3-4,32,4
2018,Malta,MT,5-8,24,65
2018,Netherland,0-2,26,05
2018,Netherland,3-4,40,95
2018,Netherland,5-8,33,05
2018,Austria,AT,0-2,18,85
2018,Austria,AT,3-4,51,05
2018,Austria,AT,5-8,30,1
2018,Poland,PL,0-2,13,45
2018,Poland,PL,3-4,59,3
2018,Poland,PL,5-8,27,25
2018,Portugal,PT,0-2,50,0
2018,Portugal,PT,3-4,27,6
2018,Portugal,PT,5-8,22,35
2018,Romania,RO,0-2,26,3
2018,Romania,RO,3-4,58,2
2018,Romania,RO,5-8,15,5
2018,Slovenia,SI,0-2,16,45
2018,Slovenia,SI,3-4,54,7
2018,Slovenia,SI,5-8,28,9
2018,Slovakia,SK,0-2,14,45
2018,Slovakia,SK,3-4,63,55
2018,Slovakia,SK,5-8,22,1
2018,Finland,Fi,0-2,17,65
2018,Finland,Fi,3-4,45,0
2018,Finland,Fi,5-8,37,35
2018,Sweden,SE,0-2,20,95
2018,Sweden,SE,3-4,41,85
2018,Sweden,SE,5-8,37,2
2018,Switzerlan,0-2,17,25
2018,Switzerlan,3-4,45,05
2018,Switzerlan,5-8,37,7
2019,Belgium,BE,0-2,25,85
2019,Belgium,BE,3-4,38,1
2019,Belgium,BE,5-8,36,05
2019,Bulgaria,BG,0-2,21,85
2019,Bulgaria,BG,3-4,53,4
2019,Bulgaria,BG,5-8,24,75
2019,Czechia,CZ,0-2,12,35
2019,Czechia,CZ,3-4,66,05
2019,Czechia,CZ,5-8,21,6
2019,Denmark,DK,0-2,26,1
2019,Denmark,DK,3-4,40,75
2019,Denmark,DK,5-8,33,1
2019,Germany,DE,0-2,19,55
2019,Germany,DE,3-4,54,5
2019,Germany,DE,5-8,25,95
2019,Estonia,EE,0-2,15,8
2019,Estonia,EE,3-4,47,75
2019,Estonia,EE,5-8,36,45
2019,Ireland,IE,0-2,21,05
2019,Ireland,IE,3-4,38,3
2019,Ireland,IE,5-8,40,65
2019,Greece,EL,0-2,25,9
2019,Greece,EL,3-4,46,35
2019,Greece,EL,5-8,27,7
2019,Spain,ES,0-2,39,65
2019,Spain,ES,3-4,25,25
2019,Spain,ES,5-8,35,1
2019,France,FR,0-2,23,45
2019,France,FR,3-4,42,9
2019,France,FR,5-8,33,6
2019,Croatia,HR,0-2,18,1
2019,Croatia,HR,3-4,59,85
2019,Croatia,HR,5-8,22,05
2019,Italy,IT,0-2,39,8
2019,Italy,IT,3-4,42,75
2019,Italy,IT,5-8,17,4
2019,Cyprus,CY,0-2,21,5
2019,Cyprus,CY,3-4,38,65
2019,Cyprus,CY,5-8,39,85
2019,Liatvia,LV,0-2,14,95
2019,Liatvia,LV,3-4,53,9
2019,Liatvia,LV,5-8,31,15
2019,Lithuania,LT,0-2,11,15
2019,Lithuania,LT,3-4,51,05
2019,Lithuania,LT,5-8,37,75
2019,Luxembourg,LU,0-2,26,75
2019,Luxembourg,LU,3-4,32,25
2019,Luxembourg,LU,5-8,41,05
2019,Hungary,HU,0-2,19,95
2019,Hungary,HU,3-4,57,6
2019,Hungary,HU,5-8,22,45
2019,Malta,MT,0-2,41,25
2019,Malta,MT,3-4,32,0
2019,Malta,MT,5-8,26,8
2019,Netherland,0-2,25,55
2019,Netherland,3-4,39,75
2019,Netherland,5-8,34,75
2019,Austria,AT,0-2,18,7
2019,Austria,AT,3-4,50,15
2019,Austria,AT,5-8,31,1
2019,Poland,PL,0-2,13,3
2019,Poland,PL,3-4,58,45
2019,Poland,PL,5-8,28,2
2019,Portugal,PT,0-2,47,75
2019,Portugal,PT,3-4,28,7
2019,Portugal,PT,5-8,23,6
2019,Romania,RO,0-2,25,1
2019,Romania,RO,3-4,58,85
2019,Romania,RO,5-8,16,05
2019,Slovenia,SI,0-2,15,8
2019,Slovenia,SI,3-4,54,7
2019,Slovenia,SI,5-8,29,5
2019,Slovakia,SK,0-2,14,5
2019,Slovakia,SK,3-4,62,3
2019,Slovakia,SK,5-8,23,15
2019,Finland,Fi,0-2,16,9
2019,Finland,Fi,3-4,44,5
2019,Finland,Fi,5-8,38,6
2019,Sweden,SE,0-2,20,7
2019,Sweden,SE,3-4,41,3
2019,Sweden,SE,5-8,37,95
2019,Switzerlan,0-2,16,5
2019,Switzerlan,3-4,44,95
2019,Switzerlan,5-8,38,55
