Year,Country,code,ISCED11,AVG
2007,Belgium,BE,3-4,37,15
2007,Belgium,BE,5-8,28,15
2007,Bulgaria,BG,0-2,28,65
2007,Bulgaria,BG,3-4,52,8
2007,Bulgaria,BG,5-8,18,5
2007,Czechia,CZ,0-2,16,2
2007,Czechia,CZ,3-4,72,2
2007,Czechia,CZ,5-8,11,65
2007,Denmark,DK,0-2,32,35
2007,Denmark,DK,3-4,41,7
2007,Denmark,DK,5-8,26,05
2007,Germany,DE,0-2,23,5
2007,Germany,DE,3-4,56,15
2007,Germany,DE,5-8,20,35
2007,Estonia,EE,0-2,20,1
2007,Estonia,EE,3-4,52,55
2007,Estonia,EE,5-8,27,35
2007,Ireland,IE,0-2,33,1
2007,Ireland,IE,3-4,36,75
2007,Ireland,IE,5-8,30,15
2007,Greece,EL,0-2,40,8
2007,Greece,EL,3-4,40,1
2007,Greece,EL,5-8,19,15
2007,Spain,ES,0-2,50,1
2007,Spain,ES,3-4,23,1
2007,Spain,ES,5-8,26,8
2007,France,FR,0-2,33,95
2007,France,FR,3-4,41,7
2007,France,FR,5-8,24,35
2007,Croatia,HR,0-2,26,65
2007,Croatia,HR,3-4,59,95
2007,Croatia,HR,5-8,13,4
2007,Italy,IT,0-2,48,7
2007,Italy,IT,3-4,39,3
2007,Italy,IT,5-8,12,05
2007,Cyprus,CY,0-2,31,15
2007,Cyprus,CY,3-4,39,2
2007,Cyprus,CY,5-8,29,7
2007,Liatvia,LV,0-2,24,15
2007,Liatvia,LV,3-4,57,45
2007,Liatvia,LV,5-8,18,35
2007,Lithuania,LT,0-2,19,95
2007,Lithuania,LT,3-4,56,5
2007,Lithuania,LT,5-8,23,6
2007,Luxembourg,LU,0-2,38,7
2007,Luxembourg,LU,3-4,38,6
2007,Luxembourg,LU,5-8,22,7
2007,Hungary,HU,0-2,26,25
2007,Hungary,HU,3-4,58,4
2007,Hungary,HU,5-8,15,35
2007,Malta,MT,0-2,67,3
2007,Malta,MT,3-4,20,95
2007,Malta,MT,5-8,11,7
2007,Netherland,0-2,32,85
2007,Netherland,3-4,41,7
2007,Netherland,5-8,25,45
2007,Austria,AT,0-2,25,4
2007,Austria,AT,3-4,60,05
2007,Austria,AT,5-8,14,6
2007,Poland,PL,0-2,20,4
2007,Poland,PL,3-4,63,95
2007,Poland,PL,5-8,15,6
2007,Portugal,PT,0-2,71,5
2007,Portugal,PT,3-4,16,6
2007,Portugal,PT,5-8,11,9
2007,Romania,RO,0-2,30,9
2007,Romania,RO,3-4,59,15
2007,Romania,RO,5-8,9,9
2007,Slovenia,SI,0-2,22,25
2007,Slovenia,SI,3-4,59,25
